VALUE,BPS_NAME,CLASSNAMES,Freq,REL_PERCENT,ACRES
13,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Upland Deciduous Forest,4656,0.030163476,1033.632
14,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Upland Evergreen Forest,51060,0.330787599,11335.32
15,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Upland Mixed Forest,11539,0.074754369,2561.658
16,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Upland Herbaceous,3031,0.01963606,672.882
17,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Upland Shrubland,11911,0.077164338,2644.242
22,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Low Intensity,16589,0.107470338,3682.758
23,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Medium Intensity,11972,0.077559521,2657.784
24,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-High Intensity,5024,0.03254753,1115.328
25,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Roads,165210,1.070298066,36676.62
32,Southern Rocky Mountain Ponderosa Pine Woodland,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,2802,0.018152504,622.044
63,Southern Rocky Mountain Ponderosa Pine Woodland,NASS-Row Crop-Close Grown Crop,1,6.47841E-06,0.222
64,Southern Rocky Mountain Ponderosa Pine Woodland,NASS-Row Crop,2,1.29568E-05,0.444
100,Southern Rocky Mountain Ponderosa Pine Woodland,Sparse Vegetation Canopy,45408,0.294171627,10080.576
110,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 10%,153114,0.991935222,33991.308
111,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 11%,59187,0.383437635,13139.514
112,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 12%,70544,0.457012934,15660.768
113,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 13%,80237,0.519808159,17812.614
114,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 14%,89300,0.578521986,19824.6
115,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 15%,275467,1.784588084,61153.674
116,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 16%,111436,0.721928063,24738.792
117,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 17%,121299,0.785824618,26928.378
118,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 18%,127035,0.822984776,28201.77
119,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 19%,131427,0.851437951,29176.794
120,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 20%,135323,0.876677835,30041.706
121,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 21%,142869,0.925563915,31716.918
122,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 22%,150369,0.974151988,33381.918
123,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 23%,157991,1.023530426,35074.002
124,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 24%,165290,1.070816339,36694.38
